Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218800688 - La Bourgonce	258800598	SIVOS de La Bourgonce, La Salle, Nompatelize	SIVU	0	0	1978-09-21	1978-09-21	POPUL		3	1855	2	CBUDG	0	0	0		0		Mme	Nadine	MARTIN	Mairie			88470 LA BOURGONCE	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218804284 - Saint-Michel-sur-Meurthe	258800606	Groupement syndical forestier du massif des Jumeaux	SIVU	0	0	1978-02-20	1978-02-20	POPUL		4	3720	1	CFISC	0	0	0	 	0	 	M.	Francis	TOUSSAINT		3 Route de Rambervillers		88470 LA SALLE	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218801280 - Denipaire	258800614	SIVOS de la vallée de la Hure	SIVU	0	0	1976-07-20	1976-07-20	POPUL		3	684	2	CBUDG	0	0	0	 	0	 	Mme	Charline	VILLAUME	Mairie			88210 DENIPAIRE	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218802635 - Laveline-du-Houx	258800648	SIVOS de la vallée du Haut Barba	SIVU	0	0	1977-07-27	1977-07-27	POPUL		3	650	2	CBUDG	0	0	0		0		M.	Bernard	GARDEZ	Mairie			88640 LAVELINE DU HOU8	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218802593 - Landaville	258800689	SI des eaux de la région de Landaville	SIVU	0	0	1948-07-21	1948-07-21	POPUL		5	1075	1	CBUDG	0	0	0		0		M.	Michel	LALLEMAND	Mairie			88300 Landaville	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218803013 - Ménil-sur-Belvitte	258800739	SI des eaux de la Belvitte	SIVU	0	0	1938-01-06	1938-01-06	POPUL		8	1504	1	CBUDG	0	0	0		0		M.	Thierry	VINOT	Mairie			88700 Ménil-sur-Belvitte	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801199 - Crainvilliers	258800747	SI des eaux de l'Anger	SIVU	0	0	1960-02-06	1960-02-06	POPUL		3	515	1	CBUDG	0	0	0		0		M.	Patrick	LALOUE		220 Route de Dombrot		88140 Crainvilliers	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218800951 - Châtenois	258800838	SI des eaux de la Vraine et du Xaintois	SIVU	0	0	1946-03-27	1946-03-27	POPUL		30	7176	1	CBUDG	0	0	0	 	0	 	M.	Guy	SAUVAGE		2 Rue sous l'Église	BP 11	88170 Châtenois	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804847 - Uzemain	258800861	SI des eaux des Monts Faucilles	SIVU	0	0	1947-01-04	1947-01-04	MEMNB		14	3839	1	CBUDG	0	0	0	 	0	 	M.	Vincent	HUMBERT	Station de pompage	2 Bis Rue du Calais		88220 Uzemain	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218801843 - Fremifontaine	258800929	SI des eaux d'Autrey, Fremifontaine	SIVU	0	0	2004-08-02	2004-08-02	POPUL		2	725	1	CBUDG	0	0	0		0		M.	Jacques	COLNE	Mairie			88600 Fremifontaine	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218802742 - Longchamp-sous-Châtenois	258800986	SI de Froide Fontaine	SIVU	0	0	1971-07-30	1971-07-30	POPUL		2	150	1	CBUDG	0	0	0		0		M.	David	BERGERET	Mairie			88170 CHATENOIS	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218804607 - Soulosse-sous-Saint-Élophe	258801026	SI des eaux de la Frézelle et du Vair	SIVU	0	0	1953-12-17	1953-12-17	POPUL		3	1135	1	CBUDG	0	0	0		0		M.	Hervé	AURY	Mairie			88630 Soulosse-sous-Saint-Elophe	    	    			2, place Arthur AURY			88300 ROLLAINVILLE	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218803252 - La Neuveville-sous-Montfort	258801042	SI des eaux de la région de Thuillières	SIVU	0	0	1947-01-07	1947-01-07	POPUL		8	1916	1	CBUDG	0	0	0		0		M.	Damien	MAYAUX		95 Rue du Montfort		88800 La Neuveville-sous-Monfort	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801512 - Dompaire	258801059	SI scolaire de Dompaire	SIVU	0	0	1960-02-17	1960-02-17	POPUL		37	8107	2	CFISC	0	0	0		0		M.	Emmanuel	MARCHAL	Mairie			88270 Dompaire	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218800472 - Begnécourt	258801067	SI de distribution d'eau de la région de Les Ableuvenettes	SIVU	0	0	1967-05-31	1967-05-31	POPUL		23	2676	1	CBUDG	0	0	0		0		M.	Auguste	MATHIEU		60 Rue du Madon		88270 VALLEROY AUX SAULES	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218802098 - Golbey	258801323	SI du secteur scolaire de Golbey	SIVU	0	0	1972-01-31	1972-01-31	POPUL		6	16446	1	CBUDG	0	0	0	 	0	 	M.	Franck	CHAGNOT	Mairie			88190 Golbey	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218804441 - Le Saulcy	258801356	SIVOS des Hauts de Salm	SIVU	0	0	1971-09-08	1971-09-08	POPUL		7	862	1	CBUDG	0	0	0		0		M.	Francis	ALTAN	Mairie			88210 LE SAULCY	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218803674 - Rambervillers	258801406	SI des eaux de la région de Rambervillers	SIVU	0	0	1946-07-03	1946-07-03	POPUL		14	8792	1	CBUDG	0	0	0	 	0	 	M.	Patrice	ROBIN	9 rue du Docteur Lahalle			88700 Rambervillers	    	    						 	    	    	
